student_id,amount,payment_date,payment_method
10975105,1775.26,4/24/2024,cash
11004272,102.14,11/21/2024,Bank Transfer
11010910,1802.64,5/10/2024,Bank Transfer
11012330,274.86,3/13/2024,cash
11012343,562.18,3/13/2024,cash
11014727,1912.87,6/18/2024,Bank Transfer
11014977,934.78,2/8/2024,cash
11015506,426.9,7/12/2024,cash
11018690,205.04,11/6/2024,cash
11021544,433.23,3/23/2024,cash
11023595,1359.66,12/10/2024,cash
11025159,1818.3,9/10/2024,Bank Transfer
11038081,1317.34,12/10/2024,Bank Transfer
11049492,1393,8/24/2024,cash
11049523,821.02,3/15/2024,Bank Transfer
11053386,1691.25,11/9/2024,Bank Transfer
11105235,1914.16,3/19/2024,Bank Transfer
11112276,1216.1,8/18/2024,cash
11116537,616.66,9/26/2024,cash
11116737,714.11,2/27/2024,cash
11116804,313.76,4/10/2024,Bank Transfer
11117318,1217.88,4/27/2024,Bank Transfer
11117536,514.66,9/19/2024,Bank Transfer
11123762,1382.14,3/28/2024,cash
11139245,238.74,5/31/2024,cash
11139828,749.13,7/13/2024,Bank Transfer
11164744,1415.04,11/8/2024,cash
11170350,825.09,6/9/2024,cash
11172376,151.74,1/12/2024,Bank Transfer
11208328,1075.72,4/17/2024,cash
11209640,1986.88,2/7/2024,Bank Transfer
11213307,1524.78,2/22/2024,cash
11218951,1756.73,6/1/2024,cash
11238291,968.92,2/11/2024,cash
11246366,167.42,3/22/2024,cash
11252855,734.81,7/6/2024,cash
11252857,1982.03,5/14/2024,Bank Transfer
11253931,1057.39,6/13/2024,Bank Transfer
11254079,876.13,9/8/2024,cash
11254301,1059.8,7/31/2024,cash
11254405,311.16,12/30/2024,cash
11262592,886.66,12/6/2024,Bank Transfer
11264010,910.21,8/22/2024,Bank Transfer
11275876,194.75,4/24/2024,cash
11285635,964.83,2/19/2024,cash
11292620,1916.6,11/29/2024,cash
11293871,222.59,3/14/2024,cash
11296641,670.67,9/14/2024,Bank Transfer
11296662,1111.09,1/20/2024,cash
11297849,120.57,1/21/2024,cash
11305528,1354.31,1/11/2024,Bank Transfer
11330446,1441.08,5/22/2024,cash
11332163,1041.51,11/6/2024,Bank Transfer
11333321,1945.55,10/2/2024,Bank Transfer
11334401,1040.14,11/13/2024,cash
11338323,1492.2,5/11/2024,Bank Transfer
11347946,1082.57,1/4/2024,Bank Transfer
11348310,687.03,3/16/2024,cash
11353826,1130.15,5/16/2024,Bank Transfer
11356825,1011.79,1/30/2024,cash
11358243,1161.14,12/12/2024,cash
